State,Fiscal year,Country,Commodity name,Dollar value,Fiscal quarter,Trade type,Fiscal quarter description
KY,2024,Dominican Republic,"Bakery Goods, Cereals, And Pasta",692463,1,Exports,Fiscal Quarter 1
IL,2023,Taiwan,Distillers Grains,17970164,4,Exports,Fiscal Quarter 4
WV,2022,World,Live Animals,837472,2,Exports,Fiscal Quarter 2
WA,2019,China,Processed Vegetables,16424860,3,Exports,Fiscal Quarter 3
AR,2022,Guatemala,Poultry Meat And Products (Excluding Eggs),3748918,4,Exports,Fiscal Quarter 4
IA,2024,Mexico,Ethanol (Non-Beverage),6696689,3,Exports,Fiscal Quarter 3
LA,2023,China,Soybeans,565725342,4,Exports,Fiscal Quarter 4
IN,2020,Mexico,Dairy Products,9943663,3,Exports,Fiscal Quarter 3
MD,2022,World,Poultry Meat And Products (Excluding Eggs),19519259,3,Exports,Fiscal Quarter 3
ME,2023,World,Live Animals,5896869,2,Exports,Fiscal Quarter 2
NE,2023,World,Soybeans,166312494,2,Exports,Fiscal Quarter 2
ME,2021,World,Processed Fruit,6552218,1,Exports,Fiscal Quarter 1
CT,2019,Hong Kong,Food Preparations,5631508,1,Exports,Fiscal Quarter 1
AL,2023,Mexico,Eggs And Products,1325908,3,Exports,Fiscal Quarter 3
WI,2021,Netherlands,Processed Fruit,6443555,2,Exports,Fiscal Quarter 2
PA,2021,Mexico,Chocolate And Cocoa Products,10177181,1,Exports,Fiscal Quarter 1
GA,2024,Trinidad And Tobago,"Other Feeds, Meals, And Fodders",8069950,1,Exports,Fiscal Quarter 1
NJ,2020,World,Fruit And Vegetable Juices,47372654,4,Exports,Fiscal Quarter 4
VA,2022,Dominican Republic,Soybean Oil,6538291,1,Exports,Fiscal Quarter 1
KS,2019,Indonesia,Soybeans,2238629,2,Exports,Fiscal Quarter 2
VA,2024,World,Tobacco,78948643,2,Exports,Fiscal Quarter 2
MD,2019,Japan,"Dextrins, Peptones, And Proteins",684732,2,Exports,Fiscal Quarter 2
GA,2019,World,"Other Feeds, Meals, And Fodders",44332789,1,Exports,Fiscal Quarter 1
NC,2023,Canada,Food Preparations,8533103,1,Exports,Fiscal Quarter 1
AL,2021,World,Poultry Meat And Products (Excluding Eggs),62384849,3,Exports,Fiscal Quarter 3
CO,2022,Mexico,Beef And Beef Products,39736574,3,Exports,Fiscal Quarter 3
OK,2019,Netherlands,"Dextrins, Peptones, And Proteins",2726456,1,Exports,Fiscal Quarter 1
SC,2023,World,Vegetable Oils (Excluding Soybean),26348479,4,Exports,Fiscal Quarter 4
MT,2023,Mexico,Pulses,1344909,4,Exports,Fiscal Quarter 4
MT,2023,Peru,Pulses,2054143,3,Exports,Fiscal Quarter 3
IA,2022,World,Soybeans,153230696,2,Exports,Fiscal Quarter 2
SD,2022,World,Pork And Pork Products,88907137,3,Exports,Fiscal Quarter 3
NE,2023,China,Beef And Beef Products,47873355,4,Exports,Fiscal Quarter 4
OR,2023,World,Hay,41456870,2,Exports,Fiscal Quarter 2
IL,2024,Japan,Corn,128816,3,Exports,Fiscal Quarter 3
NC,2019,Ireland,Processed Vegetables,809786,1,Exports,Fiscal Quarter 1
WV,2020,Turkey,Eggs And Products,317440,4,Exports,Fiscal Quarter 4
MD,2024,China,Essential Oils,1497164,2,Exports,Fiscal Quarter 2
DC,2021,World,Processed Fruit,112648,1,Exports,Fiscal Quarter 1
TN,2024,Mexico,"Bakery Goods, Cereals, And Pasta",9363680,1,Exports,Fiscal Quarter 1
SD,2021,World,Pork And Pork Products,67316585,4,Exports,Fiscal Quarter 4
MI,2021,Guatemala,Dairy Products,87300,3,Exports,Fiscal Quarter 3
NY,2022,World,Food Preparations,79021900,2,Exports,Fiscal Quarter 2
FL,2024,Guatemala,Beef And Beef Products,7653557,2,Exports,Fiscal Quarter 2
CT,2021,Dominican Republic,Tobacco,13898495,3,Exports,Fiscal Quarter 3
WI,2022,South Korea,Ethanol (Non-Beverage),77147,1,Exports,Fiscal Quarter 1
US,2023,China,Beef And Beef Products,387130377,2,Exports,Fiscal Quarter 2
ME,2019,Netherlands,Processed Fruit,223410,1,Exports,Fiscal Quarter 1
VA,2021,Angola,Poultry Meat And Products (Excluding Eggs),2913608,2,Exports,Fiscal Quarter 2
KY,2022,Colombia,Dog And Cat Food,62418,3,Exports,Fiscal Quarter 3
LA,2021,World,Wheat,120674386,2,Exports,Fiscal Quarter 2
NJ,2022,Canada,Vegetable Oils (Excluding Soybean),24175558,4,Exports,Fiscal Quarter 4
PR,2022,World,Distilled Spirits,12009601,1,Exports,Fiscal Quarter 1
RI,2020,Nigeria,Food Preparations,855736,2,Exports,Fiscal Quarter 2
VA,2020,China,Soybeans,22420993,4,Exports,Fiscal Quarter 4
IA,2019,Morocco,Distillers Grains,4596959,1,Exports,Fiscal Quarter 1
AR,2020,World,Poultry Meat And Products (Excluding Eggs),55218756,4,Exports,Fiscal Quarter 4
HI,2020,Canada,Fresh Fruit,773463,4,Exports,Fiscal Quarter 4
WV,2020,France,Eggs And Products,117310,4,Exports,Fiscal Quarter 4
AZ,2022,Japan,Hay,252001,4,Exports,Fiscal Quarter 4
AK,2022,Bahamas,"Meat Products, Nesoi",10118,4,Exports,Fiscal Quarter 4
MI,2024,Mexico,Dairy Products,50177314,2,Exports,Fiscal Quarter 2
DE,2024,Ghana,Poultry Meat And Products (Excluding Eggs),1543716,2,Exports,Fiscal Quarter 2
CA,2023,Japan,Fresh Vegetables,4726720,1,Exports,Fiscal Quarter 1
VA,2019,Belgium,Tobacco,6568560,3,Exports,Fiscal Quarter 3
IA,2019,Japan,Beef And Beef Products,46177177,3,Exports,Fiscal Quarter 3
PA,2020,Singapore,Chocolate And Cocoa Products,2744729,2,Exports,Fiscal Quarter 2
VI,2023,World,Beer,3339,3,Exports,Fiscal Quarter 3
AR,2022,El Salvador,Cotton,8641141,2,Exports,Fiscal Quarter 2
AZ,2023,Saudi Arabia,Hay,18170722,2,Exports,Fiscal Quarter 2
AZ,2021,World,Fresh Vegetables,94935437,1,Exports,Fiscal Quarter 1
IA,2020,World,Soybeans,59417312,3,Exports,Fiscal Quarter 3
OH,2019,Singapore,Essential Oils,3703996,3,Exports,Fiscal Quarter 3
OH,2022,Mexico,"Bakery Goods, Cereals, And Pasta",1251471,2,Exports,Fiscal Quarter 2
WY,2021,Canada,Pulses,676050,3,Exports,Fiscal Quarter 3
MS,2022,Bangladesh,Cotton,37247920,4,Exports,Fiscal Quarter 4
NE,2020,Taiwan,Soybeans,1890848,4,Exports,Fiscal Quarter 4
AR,2024,Panama,Pork And Pork Products,50760,2,Exports,Fiscal Quarter 2
ND,2021,World,Soybeans,55500530,4,Exports,Fiscal Quarter 4
IA,2020,Japan,Soybeans,1036402,1,Exports,Fiscal Quarter 1
CO,2020,World,Dairy Products,11466591,2,Exports,Fiscal Quarter 2
LA,2024,World,Corn,1230523851,2,Exports,Fiscal Quarter 2
MT,2022,World,Live Animals,10530804,2,Exports,Fiscal Quarter 2
TX,2019,Mexico,Cotton,64596087,3,Exports,Fiscal Quarter 3
VA,2022,Angola,Poultry Meat And Products (Excluding Eggs),1944715,2,Exports,Fiscal Quarter 2
MI,2022,World,"Bakery Goods, Cereals, And Pasta",41798963,4,Exports,Fiscal Quarter 4
IL,2020,World,Distillers Grains,226201163,2,Exports,Fiscal Quarter 2
OR,2021,Japan,Planting Seeds,3927647,1,Exports,Fiscal Quarter 1
IL,2024,United Arab Emirates,Food Preparations,7850232,2,Exports,Fiscal Quarter 2
AZ,2019,Netherlands,Food Preparations,7717442,3,Exports,Fiscal Quarter 3
IA,2020,Taiwan,Beef And Beef Products,25008341,1,Exports,Fiscal Quarter 1
OK,2019,Netherlands,"Dextrins, Peptones, And Proteins",2139155,3,Exports,Fiscal Quarter 3
US,2023,China,Beef And Beef Products,444314659,1,Exports,Fiscal Quarter 1
VA,2020,South Korea,Pork And Pork Products,24359860,4,Exports,Fiscal Quarter 4
FL,2019,Mexico,Beef And Beef Products,3542010,4,Exports,Fiscal Quarter 4
NJ,2020,Mexico,Fresh Fruit,181857,3,Exports,Fiscal Quarter 3
PR,2022,British Virgin Islands,Food Preparations,476238,2,Exports,Fiscal Quarter 2
HI,2023,South Korea,Tree Nuts,150494,1,Exports,Fiscal Quarter 1
WV,2020,Canada,Food Preparations,174157,2,Exports,Fiscal Quarter 2
IA,2023,Japan,Soybeans,900024,1,Exports,Fiscal Quarter 1
NC,2021,World,Food Preparations,62201225,1,Exports,Fiscal Quarter 1
WV,2021,Taiwan,Poultry Meat And Products (Excluding Eggs),545175,4,Exports,Fiscal Quarter 4
MS,2022,Canada,Rice,5622804,3,Exports,Fiscal Quarter 3
MD,2022,World,"Dextrins, Peptones, And Proteins",24758680,4,Exports,Fiscal Quarter 4
WY,2022,Australia,Condiments And Sauces,15167,1,Exports,Fiscal Quarter 1
NY,2022,Switzerland,"Bakery Goods, Cereals, And Pasta",4409447,2,Exports,Fiscal Quarter 2
MD,2022,Mexico,Poultry Meat And Products (Excluding Eggs),2269575,1,Exports,Fiscal Quarter 1
GA,2023,Canada,Poultry Meat And Products (Excluding Eggs),34398764,1,Exports,Fiscal Quarter 1
NH,2020,Australia,"Dextrins, Peptones, And Proteins",685572,3,Exports,Fiscal Quarter 3
OH,2022,World,Pork And Pork Products,47140832,2,Exports,Fiscal Quarter 2
WY,2021,Germany,Live Animals,8500,4,Exports,Fiscal Quarter 4
WA,2021,Canada,Fresh Fruit,55318808,2,Exports,Fiscal Quarter 2
CA,2024,Philippines,Dairy Products,47227930,3,Exports,Fiscal Quarter 3
