State,Fiscal year,Country,Commodity name,Dollar value,Fiscal quarter,Trade type,Fiscal quarter description
MD,2022,World,"Coffee, Unroasted",146333346,3,Imports,Fiscal Quarter 3
WI,2019,Ireland,Dairy Products,41178290,4,Imports,Fiscal Quarter 4
NM,2022,Spain,Spices,334411,1,Imports,Fiscal Quarter 1
PA,2023,India,Essential Oils,248279,1,Imports,Fiscal Quarter 1
IL,2022,Germany,Beer,143718,2,Imports,Fiscal Quarter 2
WV,2020,Italy,Wine And Related Products,80899,1,Imports,Fiscal Quarter 1
VT,2022,Canada,Coarse Grains (Including Corn),10772571,4,Imports,Fiscal Quarter 4
VA,2023,India,"Baked Goods, Cereals, And Pasta",2520411,2,Imports,Fiscal Quarter 2
VT,2020,Netherlands,Other Feeds And Grain Products,322687,2,Imports,Fiscal Quarter 2
WI,2021,Canada,Oilseed Meal And Cake,18788285,1,Imports,Fiscal Quarter 1
SD,2021,Canada,Live Animals,10497740,4,Imports,Fiscal Quarter 4
MA,2020,Israel,Fresh Vegetables,50881,1,Imports,Fiscal Quarter 1
OK,2023,Mexico,Fresh Vegetables,3915722,1,Imports,Fiscal Quarter 1
MA,2022,Spain,Vegetable Oils,3986591,1,Imports,Fiscal Quarter 1
MA,2019,World,Distilled Spirits,30397459,2,Imports,Fiscal Quarter 2
US,2022,Peru,Processed Fruit And Vegetables,114744821,4,Imports,Fiscal Quarter 4
OK,2020,Canada,Pet Food,806208,2,Imports,Fiscal Quarter 2
WV,2019,World,Poultry Products And Eggs,1526806,2,Imports,Fiscal Quarter 2
DC,2022,Argentina,Processed Fruit And Vegetables,59148,3,Imports,Fiscal Quarter 3
UT,2022,Canada,Live Animals,103222838,3,Imports,Fiscal Quarter 3
PA,2022,Australia,Beef And Beef Products,74082963,2,Imports,Fiscal Quarter 2
NY,2022,Italy,Processed Fruit And Vegetables,9247513,1,Imports,Fiscal Quarter 1
VT,2023,Canada,"Sugars, Sweeteners, And Beverage Bases",10560915,2,Imports,Fiscal Quarter 2
FL,2019,Guatemala,Fresh Fruit - Bananas,126125707,2,Imports,Fiscal Quarter 2
TN,2024,World,Distilled Spirits,14177673,3,Imports,Fiscal Quarter 3
VI,2021,France,Distilled Spirits,1179838,1,Imports,Fiscal Quarter 1
DE,2020,Argentina,Fruit And Vegetable Juices,3422215,2,Imports,Fiscal Quarter 2
IL,2019,Greece,Processed Fruit And Vegetables,5260937,2,Imports,Fiscal Quarter 2
US,2021,Canada,Processed Fruit And Vegetables,540723386,4,Imports,Fiscal Quarter 4
NJ,2020,Cote D'Ivoire,Chocolate And Cocoa Products,20551937,4,Imports,Fiscal Quarter 4
PA,2020,World,Fresh Fruit - Other,66792934,1,Imports,Fiscal Quarter 1
VA,2021,Turkey,Tree Nuts,4438621,3,Imports,Fiscal Quarter 3
LA,2019,Indonesia,"Coffee, Unroasted",11472703,1,Imports,Fiscal Quarter 1
IL,2022,World,Distilled Spirits,303462794,2,Imports,Fiscal Quarter 2
ND,2021,World,Pulses,13369223,3,Imports,Fiscal Quarter 3
MD,2022,World,Spices,89460249,4,Imports,Fiscal Quarter 4
NY,2020,Canada,Processed Fruit And Vegetables,42479288,2,Imports,Fiscal Quarter 2
WI,2020,World,Beef And Beef Products,23547034,2,Imports,Fiscal Quarter 2
WY,2020,Poland,Vegetable Oils,327114,2,Imports,Fiscal Quarter 2
ID,2019,Canada,Processed Fruit And Vegetables,3930742,3,Imports,Fiscal Quarter 3
GA,2023,Thailand,"Sugars, Sweeteners, And Beverage Bases",115541,1,Imports,Fiscal Quarter 1
ND,2022,Turkey,Oilseeds,314697,4,Imports,Fiscal Quarter 4
MN,2021,Chile,Fresh Fruit - Other,8310914,4,Imports,Fiscal Quarter 4
AK,2024,World,Nursery Products And Cut Flowers,1069000,3,Imports,Fiscal Quarter 3
DC,2019,Brazil,Processed Fruit And Vegetables,139864,4,Imports,Fiscal Quarter 4
RI,2022,Canada,Pet Food,46280,3,Imports,Fiscal Quarter 3
