State,Fiscal year,Fiscal quarter,Ratio
AK,2019,1,18.903026900356394
AK,2019,2,3.141995226125811
AK,2019,3,1.1201220283126105
AK,2019,4,2.954471896255947
AK,2020,1,6.887655369172894
AK,2020,2,1.7945571750755567
AK,2020,3,0.6402559201820391
AK,2020,4,6.852090745899899
AK,2021,1,3.329030520797395
AK,2021,2,4.076762262740078
AK,2021,3,0.22495265088216937
AK,2021,4,1.2477311934443418
AK,2022,1,2.626161722891621
AK,2022,2,0.630006922839884
AK,2022,3,9.076230574763922
AK,2022,4,0.6012834742764547
AK,2023,1,0.5164771598652015
AK,2023,2,0.2595417733046586
AK,2023,3,2.1360679850944506
AK,2023,4,0.836091646747756
AK,2024,1,1.2019369765965724
AK,2024,2,0.728479910893668
AK,2024,3,1.406726548660287
AL,2019,1,0.19291841041067334
AL,2019,2,0.4199418788715494
AL,2019,3,0.41496058076509107
AL,2019,4,0.7216864159105301
AL,2020,1,0.5582799843489603
AL,2020,2,0.3965249406417509
AL,2020,3,0.48956229346649666
AL,2020,4,0.5842034970137023
AL,2021,1,0.137806634263678
AL,2021,2,0.44753538988646546
AL,2021,3,0.4224663039657014
AL,2021,4,0.7530063702273139
AL,2022,1,0.08405854785273631
AL,2022,2,0.2657385888434333
AL,2022,3,0.31673541218875995
AL,2022,4,0.6032032688447342
AL,2023,1,0.31924521933908434
AL,2023,2,0.26882974582171076
AL,2023,3,0.34395667638672833
AL,2023,4,0.5827494566774479
AL,2024,1,0.5204228757813869
AL,2024,2,0.6561186150024414
AL,2024,3,0.71763330638307
AR,2019,1,0.1853576462405538
AR,2019,2,0.2266095716566141
AR,2019,3,0.16024970691300358
AR,2019,4,0.22264738738934425
AR,2020,1,0.19540428527926246
AR,2020,2,0.20280143142243343
AR,2020,3,0.14422096323622552
AR,2020,4,0.17748472645881513
AR,2021,1,0.15620658599158194
AR,2021,2,0.3712138457901123
AR,2021,3,0.2041364212392703
AR,2021,4,0.23310172184928488
AR,2022,1,0.30268234262097743
AR,2022,2,0.268053804217474
AR,2022,3,0.14487500271269033
AR,2022,4,0.16584384496782423
AR,2023,1,0.1336674175093102
AR,2023,2,0.24129226908901716
AR,2023,3,0.1483790592270025
AR,2023,4,0.15559264193851155
AR,2024,1,0.09688951453802225
AR,2024,2,0.13184074463145368
AR,2024,3,0.0819043184449107
AZ,2019,1,2.8944435682669063
AZ,2019,2,3.9846069111167917
AZ,2019,3,6.024987258565838
AZ,2019,4,1.6973474086740805
AZ,2020,1,4.1665268961411845
AZ,2020,2,3.93274911315386
